frame_index,RightUpperLeg_orientation_w,RightUpperLeg_orientation_x,RightUpperLeg_orientation_y,RightUpperLeg_orientation_z,RightLowerLeg_orientation_w,RightLowerLeg_orientation_x,RightLowerLeg_orientation_y,RightLowerLeg_orientation_z,RightUpperLeg_angularVelocity_x,RightUpperLeg_angularVelocity_y,RightUpperLeg_angularVelocity_z,RightLowerLeg_angularVelocity_x,RightLowerLeg_angularVelocity_y,RightLowerLeg_angularVelocity_z,RightUpperLeg_acceleration_x,RightUpperLeg_acceleration_y,RightUpperLeg_acceleration_z,RightLowerLeg_acceleration_x,RightLowerLeg_acceleration_y,RightLowerLeg_acceleration_z
50,0.628077,-0.093954,0.068139,0.769447,0.656620,-0.024129,0.018711,0.753603,0.010603,-0.014667,-0.067518,-0.006694,-0.005833,0.008406,0.291386,0.026754,-0.017691,-0.052043,0.077517,-0.060703
51,0.628085,-0.093928,0.068071,0.769450,0.656681,-0.024092,0.018752,0.753550,0.011371,-0.013066,-0.064887,-0.007066,-0.004976,0.006442,0.185310,-0.060329,-0.099117,-0.042719,0.046212,0.000995
52,0.628096,-0.093903,0.068004,0.769450,0.656742,-0.024058,0.018792,0.753497,0.011586,-0.010883,-0.061941,-0.006294,-0.003839,0.003179,0.195372,-0.065786,-0.025039,0.012701,0.031604,-0.012972
53,0.628113,-0.093879,0.067938,0.769444,0.656804,-0.024025,0.018829,0.753443,0.013070,-0.008605,-0.064937,-0.005411,-0.005463,0.003812,0.280934,-0.013822,-0.026312,-0.063563,0.039601,-0.004989
54,0.628136,-0.093854,0.067873,0.769435,0.656866,-0.023993,0.018866,0.753389,0.011875,-0.010955,-0.071766,-0.007147,-0.006480,0.003966,0.026406,0.135897,-0.102553,-0.070785,0.176306,0.015714
55,0.628162,-0.093830,0.067808,0.769422,0.656927,-0.023964,0.018900,0.753336,0.013541,-0.007556,-0.070095,-0.009054,-0.007134,0.001995,0.340347,-0.164351,0.061523,-0.041237,0.124128,0.002931
56,0.628193,-0.093806,0.067743,0.769406,0.656987,-0.023936,0.018934,0.753284,0.012910,-0.005420,-0.067996,-0.007636,-0.007914,0.005287,0.281014,0.014803,-0.044742,0.026496,0.057111,-0.018415
57,0.628227,-0.093782,0.067677,0.769387,0.657045,-0.023909,0.018968,0.753233,0.011299,-0.003331,-0.064925,-0.007228,-0.008756,0.004791,0.238150,0.017099,-0.040414,0.009672,0.078871,-0.014294
58,0.628263,-0.093758,0.067610,0.769366,0.657101,-0.023884,0.019001,0.753184,0.014508,-0.000217,-0.059370,-0.007615,-0.007261,0.003871,0.318381,-0.285089,-0.000509,0.085958,0.103778,-0.018419
59,0.628302,-0.093734,0.067540,0.769343,0.657154,-0.023861,0.019034,0.753138,0.014184,0.001489,-0.055093,-0.008102,-0.007718,-0.000356,0.204628,-0.084215,-0.036047,0.047181,0.038594,0.032286
60,0.628341,-0.093710,0.067469,0.769320,0.657204,-0.023839,0.019068,0.753094,0.015703,0.003523,-0.058102,-0.007395,-0.009576,-0.006065,0.267281,-0.016196,-0.029603,-0.018366,0.001103,-0.024813
61,0.628382,-0.093686,0.067394,0.769296,0.657250,-0.023818,0.019104,0.753054,0.019694,0.002583,-0.059566,-0.008197,-0.008969,-0.007720,0.029997,-0.246222,-0.041691,0.144075,0.084301,0.021561
62,0.628423,-0.093662,0.067316,0.769273,0.657292,-0.023799,0.019140,0.753017,0.020801,0.000668,-0.058271,-0.006338,-0.010376,-0.010166,0.033584,-0.076043,-0.033653,0.060930,0.000127,-0.039433
63,0.628464,-0.093638,0.067234,0.769250,0.657329,-0.023780,0.019179,0.752984,0.024949,0.001535,-0.057532,-0.006317,-0.008218,-0.011433,0.163172,-0.241597,-0.026813,0.132487,0.036439,-0.035786
64,0.628507,-0.093618,0.067150,0.769224,0.657364,-0.023760,0.019218,0.752953,0.022516,-0.000388,-0.059381,-0.005297,-0.008034,-0.013460,0.057772,0.200737,-0.062296,0.115377,0.028216,-0.041580
65,0.628555,-0.093604,0.067064,0.769194,0.657398,-0.023734,0.019258,0.752923,0.023879,-0.007851,-0.060754,-0.004529,-0.005952,-0.013241,-0.270488,-0.004650,-0.133894,0.124947,-0.068972,0.014082
66,0.628606,-0.093595,0.066978,0.769161,0.657431,-0.023706,0.019297,0.752894,0.025159,-0.007272,-0.059504,-0.004069,-0.006246,-0.012217,0.196436,-0.087630,0.004687,0.011308,0.001997,-0.020479
67,0.628661,-0.093589,0.066889,0.769125,0.657462,-0.023677,0.019337,0.752867,0.027710,-0.009397,-0.059565,-0.004874,-0.007038,-0.006171,0.031821,-0.149025,-0.028516,0.004531,-0.024056,0.039556
68,0.628716,-0.093582,0.066798,0.769088,0.657489,-0.023650,0.019378,0.752843,0.031492,-0.013877,-0.056419,-0.005761,-0.011832,-0.000944,-0.150920,-0.289486,-0.113811,-0.234174,0.012947,-0.038190
69,0.628772,-0.093573,0.066704,0.769051,0.657513,-0.023626,0.019419,0.752823,0.033900,-0.014083,-0.057068,-0.007203,-0.008595,0.004371,0.112112,-0.097223,0.000505,0.198115,-0.022506,-0.049886
70,0.628827,-0.093559,0.066607,0.769016,0.657531,-0.023607,0.019462,0.752806,0.039760,-0.016234,-0.055777,-0.008980,-0.007077,0.017520,-0.019387,-0.441526,-0.049350,0.161768,0.023647,-0.098982
71,0.628880,-0.093539,0.066506,0.768984,0.657542,-0.023596,0.019506,0.752795,0.039170,-0.014769,-0.054215,-0.006611,-0.009988,0.024535,0.148804,0.084189,-0.052563,-0.036147,-0.084402,-0.088422
72,0.628930,-0.093509,0.066400,0.768956,0.657547,-0.023595,0.019552,0.752790,0.044440,-0.017727,-0.051238,-0.006088,-0.015503,0.031877,-0.138703,-0.407164,-0.123910,-0.069810,0.005091,-0.079787
73,0.628975,-0.093468,0.066289,0.768934,0.657544,-0.023606,0.019600,0.752792,0.046694,-0.017875,-0.048199,-0.006620,-0.018886,0.037151,0.068037,-0.177133,-0.171581,0.030170,0.104101,-0.022682
74,0.629015,-0.093414,0.066172,0.768918,0.657531,-0.023630,0.019650,0.752800,0.053922,-0.023781,-0.049796,-0.003639,-0.026041,0.048792,-0.214350,-0.448213,-0.168999,-0.081287,0.147732,-0.064665
75,0.629048,-0.093343,0.066050,0.768910,0.657508,-0.023670,0.019702,0.752817,0.058987,-0.029527,-0.053963,-0.006120,-0.029703,0.048085,-0.193080,-0.171295,-0.145689,0.034528,0.217052,0.049150
76,0.629067,-0.093256,0.065921,0.768916,0.657464,-0.023726,0.019757,0.752853,0.064651,-0.025688,-0.056247,-0.004795,-0.029824,0.039133,0.394405,-0.161539,0.007778,0.074083,0.116762,-0.026987
