frame_index,LeftUpperLeg_orientation_w,LeftUpperLeg_orientation_x,LeftUpperLeg_orientation_y,LeftUpperLeg_orientation_z,LeftLowerLeg_orientation_w,LeftLowerLeg_orientation_x,LeftLowerLeg_orientation_y,LeftLowerLeg_orientation_z,LeftUpperLeg_angularVelocity_x,LeftUpperLeg_angularVelocity_y,LeftUpperLeg_angularVelocity_z,LeftLowerLeg_angularVelocity_x,LeftLowerLeg_angularVelocity_y,LeftLowerLeg_angularVelocity_z,LeftUpperLeg_acceleration_x,LeftUpperLeg_acceleration_y,LeftUpperLeg_acceleration_z,LeftLowerLeg_acceleration_x,LeftLowerLeg_acceleration_y,LeftLowerLeg_acceleration_z
47,0.510221,-0.009182,0.005393,0.859978,0.549370,-0.036089,0.033272,0.834136,-0.004242,-0.003705,-0.045497,-0.021440,-0.022982,-0.037779,-0.259262,0.179951,0.026519,0.008205,0.031469,-0.018095
48,0.510181,-0.009166,0.005394,0.860001,0.549557,-0.036085,0.033286,0.834013,-0.006328,-0.004268,-0.045097,-0.021330,-0.021682,-0.039613,-0.056663,0.249390,-0.034447,0.049368,0.086538,-0.035783
49,0.510149,-0.009152,0.005394,0.860021,0.549747,-0.036084,0.033301,0.833887,-0.005717,-0.007502,-0.045241,-0.021959,-0.021975,-0.044615,-0.224552,-0.008568,-0.020024,0.020939,0.003572,0.002957
50,0.510124,-0.009140,0.005395,0.860035,0.549942,-0.036086,0.033315,0.833757,-0.009021,-0.003783,-0.042926,-0.021101,-0.021390,-0.049700,0.191908,0.331692,-0.019771,0.031011,0.009409,-0.021119
51,-0.510108,0.009130,-0.005395,-0.860045,0.550144,-0.036092,0.033329,0.833623,-0.007187,-0.006781,-0.044393,-0.020799,-0.021837,-0.053513,-0.127606,-0.021850,0.026468,-0.012469,0.080271,-0.036277
52,0.510099,-0.009123,0.005395,0.860050,0.550349,-0.036101,0.033343,0.833487,-0.008342,-0.004245,-0.047707,-0.021823,-0.023379,-0.061250,0.192499,0.195327,-0.037724,-0.043291,0.087861,0.042061
53,0.510098,-0.009116,0.005396,0.860051,0.550555,-0.036112,0.033356,0.833350,-0.007143,-0.006067,-0.052470,-0.022298,-0.022417,-0.067273,-0.178306,0.024918,0.037351,0.025265,0.123726,0.021950
54,0.510105,-0.009111,0.005397,0.860047,0.550762,-0.036126,0.033369,0.833212,-0.005857,-0.005708,-0.053822,-0.024948,-0.025797,-0.069691,0.007880,0.018124,-0.031347,-0.136725,0.123881,0.055230
55,0.510118,-0.009107,0.005398,0.860039,0.550970,-0.036142,0.033381,0.833073,-0.004315,-0.006741,-0.057738,-0.023559,-0.025625,-0.073926,-0.130913,0.010287,0.031495,-0.010353,0.117999,-0.002875
56,0.510139,-0.009104,0.005399,0.860027,0.551181,-0.036162,0.033393,0.832933,-0.001669,-0.009162,-0.060412,-0.025087,-0.027900,-0.077718,-0.302494,-0.045083,0.021503,-0.124349,0.141279,0.033038
57,0.510166,-0.009102,0.005400,0.860011,0.551395,-0.036184,0.033404,0.832790,-0.002625,-0.010892,-0.065245,-0.022591,-0.027598,-0.079136,-0.132796,0.118705,0.033975,-0.090596,-0.021261,-0.031243
58,0.510201,-0.009101,0.005399,0.859990,0.551612,-0.036209,0.033415,0.832644,-0.000892,-0.013681,-0.069877,-0.023981,-0.030532,-0.083342,-0.319672,-0.004342,0.021649,-0.108353,0.206189,0.007994
59,0.510241,-0.009101,0.005397,0.859966,0.551834,-0.036237,0.033425,0.832496,0.000166,-0.008891,-0.069159,-0.020728,-0.028895,-0.086257,0.224996,0.081819,-0.021980,-0.014278,0.042812,-0.003360
60,0.510289,-0.009101,0.005393,0.859938,0.552060,-0.036268,0.033435,0.832344,0.000238,-0.010883,-0.072805,-0.021587,-0.028790,-0.086081,-0.232278,0.067501,0.013712,-0.052043,0.154450,-0.042926
61,0.510342,-0.009102,0.005388,0.859907,0.552293,-0.036302,0.033444,0.832188,0.000726,-0.011234,-0.072903,-0.022765,-0.030768,-0.091708,-0.062021,0.149231,0.043110,-0.120098,0.149065,0.087014
62,0.510401,-0.009104,0.005380,0.859871,0.552531,-0.036339,0.033453,0.832028,-0.000471,-0.007523,-0.073928,-0.027278,-0.032490,-0.093544,0.161908,0.210101,-0.020022,-0.116158,0.289306,0.026524
63,-0.510467,0.009106,-0.005370,-0.859833,0.552776,-0.036380,0.033462,0.831863,-0.001021,-0.005762,-0.077307,-0.024909,-0.035453,-0.098424,0.106091,0.130352,0.078971,-0.165371,0.071143,0.001071
64,0.510540,-0.009110,0.005358,0.859789,0.553030,-0.036425,0.033470,0.831692,-0.000357,-0.006612,-0.080112,-0.027637,-0.038426,-0.101835,-0.122826,0.073624,0.027452,-0.103392,0.267998,0.067360
65,0.510623,-0.009118,0.005344,0.859740,0.553292,-0.036478,0.033477,0.831515,0.001848,-0.010567,-0.083578,-0.023724,-0.041736,-0.106105,-0.300444,-0.019807,0.007802,-0.118303,0.038696,-0.011194
66,0.510715,-0.009129,0.005330,0.859685,0.553562,-0.036535,0.033485,0.831332,0.000072,-0.012902,-0.082492,-0.025520,-0.041206,-0.110477,-0.253189,0.320164,-0.026566,0.059021,0.235835,0.001630
67,0.510814,-0.009141,0.005313,0.859626,0.553838,-0.036597,0.033492,0.831145,0.002520,-0.014752,-0.085322,-0.025381,-0.042418,-0.113991,-0.187128,-0.040874,0.043210,-0.050127,0.139463,-0.053663
68,0.510920,-0.009154,0.005296,0.859563,0.554119,-0.036662,0.033498,0.830955,0.001469,-0.015641,-0.081709,-0.024063,-0.045440,-0.121660,-0.168989,0.216160,-0.054082,-0.065970,0.118357,-0.064549
69,0.511031,-0.009166,0.005276,0.859497,0.554404,-0.036729,0.033504,0.830762,0.003055,-0.018341,-0.085531,-0.023045,-0.044248,-0.131151,-0.220478,0.097280,0.010190,0.099632,0.197170,-0.088165
70,0.511146,-0.009178,0.005255,0.859429,0.554691,-0.036796,0.033509,0.830567,0.000301,-0.020185,-0.089235,-0.027175,-0.047003,-0.143106,-0.183895,0.283361,0.024426,-0.070688,0.310146,0.009659
71,0.511264,-0.009187,0.005232,0.859359,0.554979,-0.036863,0.033514,0.830371,0.000705,-0.022644,-0.090824,-0.028207,-0.042755,-0.149432,-0.212341,0.112663,-0.012866,0.187303,0.140275,-0.038881
72,0.511384,-0.009193,0.005207,0.859287,0.555266,-0.036928,0.033518,0.830176,-0.000233,-0.021736,-0.090355,-0.027977,-0.043618,-0.153005,-0.062888,0.249066,0.000294,-0.018249,0.122077,0.074483
73,0.511505,-0.009194,0.005180,0.859216,0.555552,-0.036991,0.033521,0.829982,0.002045,-0.023503,-0.088080,-0.031748,-0.045061,-0.159347,-0.259085,0.049061,0.091241,-0.175329,0.269391,0.084159
74,0.511625,-0.009190,0.005151,0.859144,0.555835,-0.037049,0.033523,0.829790,0.001048,-0.025660,-0.094355,-0.035168,-0.045610,-0.161975,-0.156464,0.185046,0.054928,-0.172194,0.189178,0.107421
75,-0.511744,0.009180,-0.005119,-0.859074,0.556113,-0.037101,0.033524,0.829601,0.001845,-0.024433,-0.099725,-0.037154,-0.048805,-0.162081,-0.039729,0.068999,0.057361,-0.338130,0.233561,0.073167
76,0.511867,-0.009165,0.005086,0.859001,0.556384,-0.037146,0.033523,0.829417,0.000786,-0.024639,-0.106064,-0.036987,-0.049039,-0.154065,-0.127748,0.178068,0.064595,-0.202311,0.093275,0.028661
77,0.511999,-0.009147,0.005051,0.858922,0.556647,-0.037181,0.033518,0.829239,-0.000126,-0.023544,-0.109449,-0.036885,-0.051260,-0.147574,-0.094395,0.159383,0.030988,-0.271200,0.076346,-0.026634
78,0.512137,-0.009127,0.005014,0.858840,0.556904,-0.037210,0.033511,0.829066,-0.003454,-0.024996,-0.105547,-0.035000,-0.050521,-0.143194,-0.266644,0.478561,0.009354,-0.239950,0.003472,-0.025376
79,0.512280,-0.009103,0.004975,0.858756,0.557159,-0.037234,0.033503,0.828894,-0.004028,-0.024000,-0.100790,-0.035034,-0.046091,-0.139428,-0.130841,0.218342,0.033229,-0.067734,0.099292,0.029476
80,0.512424,-0.009076,0.004935,0.858670,0.557412,-0.037257,0.033494,0.828723,-0.008947,-0.027729,-0.088037,-0.032963,-0.043044,-0.137886,-0.365344,0.582462,0.035623,-0.119478,0.013674,-0.032571
81,0.512568,-0.009045,0.004892,0.858585,0.557669,-0.037280,0.033484,0.828550,-0.009457,-0.022173,-0.083511,-0.039320,-0.037765,-0.138130,0.219388,0.261648,-0.044759,-0.071700,0.333440,-0.023557
82,0.512710,-0.009011,0.004847,0.858501,0.557930,-0.037307,0.033476,0.828373,-0.012011,-0.017339,-0.079372,-0.043924,-0.039942,-0.136307,0.175967,0.307189,-0.061617,-0.243766,0.313383,0.019153
83,0.512846,-0.008973,0.004800,0.858421,0.558198,-0.037339,0.033470,0.828191,-0.014334,-0.010475,-0.074373,-0.045470,-0.045622,-0.131248,0.323072,0.327889,-0.005163,-0.269666,0.198854,0.075548
84,0.512974,-0.008931,0.004751,0.858344,0.558477,-0.037379,0.033466,0.828001,-0.016042,-0.003159,-0.071009,-0.041641,-0.050756,-0.140627,0.320973,0.249670,0.101361,-0.405675,0.191170,0.067604
85,0.513093,-0.008885,0.004699,0.858274,0.558769,-0.037430,0.033466,0.827802,-0.016086,-0.000732,-0.067780,-0.043207,-0.047008,-0.152225,0.009950,0.060519,0.139393,-0.034705,0.485637,0.164637
86,0.513200,-0.008834,0.004644,0.858211,0.559076,-0.037493,0.033471,0.827592,-0.017132,-0.003612,-0.059043,-0.048481,-0.045552,-0.165074,-0.330722,0.190596,0.133960,0.056885,0.652364,0.155680
87,-0.513293,0.008779,-0.004586,-0.858157,0.559401,-0.037572,0.033480,0.827368,-0.018586,-0.004541,-0.053627,-0.056470,-0.052741,-0.181816,-0.234379,0.229283,0.108683,-0.188689,0.771363,0.025663
88,0.513378,-0.008723,0.004525,0.858106,0.559754,-0.037663,0.033495,0.827125,-0.020362,-0.004548,-0.044172,-0.064501,-0.065154,-0.199866,-0.151815,0.233497,-0.027413,-0.417432,0.700687,-0.134704
89,0.513463,-0.008666,0.004463,0.858056,0.560136,-0.037759,0.033513,0.826861,-0.018518,-0.009889,-0.031170,-0.067003,-0.077994,-0.219208,-0.546461,0.081272,0.036838,-0.656391,0.617689,-0.239326
