frame_index,T8_orientation_w,T8_orientation_x,T8_orientation_y,T8_orientation_z,T8_angularVelocity_x,T8_angularVelocity_y,T8_angularVelocity_z,T8_acceleration_x,T8_acceleration_y,T8_acceleration_z
101,0.893858,-0.001478,0.005019,-0.44832,0.05379,-0.019101,0.004752,-0.010897,-0.05308,0.059061
102,0.89386,-0.001377,0.005034,-0.448315,0.054056,-0.013583,0.00815,-0.246512,-0.02145,0.109396
103,0.893863,-0.001275,0.005048,-0.44831,0.058695,-0.012548,0.005014,0.052843,0.170239,0.087546
104,0.893866,-0.001173,0.005062,-0.448304,0.057822,-0.011776,0.006469,-0.054494,-0.001967,-0.051303
105,0.893868,-0.001069,0.005076,-0.4483,0.061804,-0.01326,0.004647,0.13585,0.126761,0.060982
106,0.89387,-0.000963,0.005091,-0.448296,0.060533,-0.013613,0.001702,0.070598,0.071633,-0.081378
107,0.893871,-0.000853,0.005108,-0.448294,0.066048,-0.015767,0.000377,0.134445,0.141907,0.086239
108,0.893871,-0.00074,0.005128,-0.448294,0.066901,-0.012617,-0.001533,0.033608,0.017241,0.021292
109,0.893871,-0.000623,0.005149,-0.448295,0.064885,-0.015592,-0.000876,0.118446,-0.043734,-0.15902
110,0.893869,-0.000502,0.00517,-0.448298,0.065971,-0.018513,-0.003112,0.163508,-0.013301,-0.048754
111,0.893867,-0.000378,0.005192,-0.448301,0.062524,-0.023297,-0.005976,0.276859,-0.071537,-0.239395
112,0.893865,-0.000252,0.005214,-0.448306,0.065421,-0.020773,-0.004607,-0.061349,0.030277,0.025216
113,0.893862,-0.000125,0.005237,-0.448311,0.065775,-0.021576,-0.002776,0.055022,-0.027442,-0.06178
114,0.893859,4e-06,0.00526,-0.448316,0.067538,-0.020856,-0.003686,0.048068,0.013199,-0.000526
115,0.893857,0.000132,0.005283,-0.448322,0.068589,-0.020477,-0.003665,0.086301,0.004945,0.058566
